,word,sense_index,name,lexname,pos,definition,examples
0,milk,0,milk.n.01,noun.food,n,a white nutritious liquid secreted by mammals and used as food by human beings,
1,milk,1,milk.n.02,noun.body,n,produced by mammary glands of female mammals for feeding their young,
2,milk,2,milk.n.03,noun.object,n,a river that rises in the Rockies in northwestern Montana and flows eastward to become a tributary of the Missouri River,
3,milk,3,milk.n.04,noun.food,n,any of several nutritive milklike liquids,
4,milk,4,milk.v.01,verb.change,v,take milk from female mammals,Cows need to be milked every morning
5,milk,5,milk.v.02,verb.consumption,v,exploit as much as possible,I am milking this for all it's worth
6,milk,6,milk.v.03,verb.change,v,add milk to,milk the tea
0,ear,0,ear.n.01,noun.body,n,the sense organ for hearing and equilibrium,
1,ear,1,ear.n.02,noun.cognition,n,good hearing,he had a keen ear;a good ear for pitch
2,ear,2,auricle.n.02,noun.body,n,the externally visible cartilaginous structure of the external ear,
3,ear,3,ear.n.04,noun.cognition,n,attention to what is said,he tried to get her ear
4,ear,4,ear.n.05,noun.plant,n,fruiting spike of a cereal plant especially corn,
0,bath,0,bath.n.01,noun.artifact,n,a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it),she soaked the etching in an acid bath
1,bath,1,bath.n.02,noun.act,n,you soak and wash your body in a bathtub,he has a good bath every morning
2,bath,2,bathtub.n.01,noun.artifact,n,a relatively large open container that you fill with water and use to wash the body,
3,bath,3,bath.n.04,noun.quantity,n,an ancient Hebrew liquid measure equal to about 10 gallons,
4,bath,4,bath.n.05,noun.location,n,a town in southwestern England on the River Avon; famous for its hot springs and Roman remains,
5,bath,5,bathroom.n.01,noun.artifact,n,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,
6,bath,6,bathe.v.03,verb.body,v,clean one's body by immersion into water,The child should bathe every day
0,bubbles,0,bubble.n.01,noun.object,n,"a hollow globule of gas (e.g., air or carbon dioxide)",
1,bubbles,1,house_of_cards.n.01,noun.cognition,n,a speculative scheme that depends on unstable factors that the planner cannot control,his proposal was nothing but a house of cards;a real estate bubble
2,bubbles,2,bubble.n.03,noun.cognition,n,an impracticable and illusory idea,he didn't want to burst the newcomer's bubble
3,bubbles,3,bubble.n.04,noun.artifact,n,a dome-shaped covering made of transparent glass or plastic,
4,bubbles,4,bubble.v.01,verb.change,v,"form, produce, or emit bubbles",The soup was bubbling
5,bubbles,5,ripple.v.02,verb.perception,v,flow in an irregular current with a bubbling noise,babbling brooks
6,bubbles,6,bubble.v.03,verb.motion,v,rise in bubbles or as if in bubbles,bubble to the surface
7,bubbles,7,bubble.v.04,verb.change,v,cause to form bubbles,bubble gas through a liquid
8,bubbles,8,burp.v.01,verb.body,v,expel gas from the stomach,In China it is polite to burp at the table
0,apple,0,apple.n.01,noun.food,n,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,
1,apple,1,apple.n.02,noun.plant,n,native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits,
0,yes,0,yes.n.01,noun.communication,n,an affirmative,I was hoping for a yes
0,hat,0,hat.n.01,noun.artifact,n,headdress that protects the head from bad weather; has shaped crown and usually a brim,
1,hat,1,hat.n.02,noun.act,n,an informal term for a person's role,he took off his politician's hat and talked frankly
2,hat,2,hat.v.01,verb.body,v,put on or wear a hat,He was unsuitably hatted
3,hat,3,hat.v.02,verb.possession,v,furnish with a hat,
0,grandpa,0,grandfather.n.01,noun.person,n,the father of your father or mother,
0,bottle,0,bottle.n.01,noun.artifact,n,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped,
1,bottle,1,bottle.n.02,noun.quantity,n,the quantity contained in a bottle,
2,bottle,2,bottle.n.03,noun.artifact,n,a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children,
3,bottle,3,bottle.v.01,verb.possession,v,store (liquids or gases) in bottles,
4,bottle,4,bottle.v.02,verb.contact,v,put into bottles,bottle the mineral water
0,hello,0,hello.n.01,noun.communication,n,an expression of greeting,every morning they exchanged polite hellos
